ST033,4,2,4,2,2,3,4,4,1,4,1,4,4,2,4,1,2,4,1,4,3,3,1,3,4,2,4,4,2,4,2,4,1,3,2,4,2,2,2,1
ST034,3,3,4,3,4,3,3,4,1,2,3,4,1,2,2,1,2,3,1,4,2,4,1,1,1,1,4,4,2,2,2,2,1,4,2,3,2,4,2,1
ST035,3,1,4,2,2,3,1,3,1,2,2,2,3,2,3,1,2,4,1,3,3,3,1,3,4,1,4,4,4,1,2,4,1,3,2,4,2,2,2,1
ST036,3,2,4,2,2,3,4,4,1,3,1,4,1,2,3,1,2,4,1,2,3,3,1,3,2,1,4,4,1,2,2,4,1,4,2,4,2,2,2,1
ST037,2,2,4,3,4,1,4,4,1,3,2,4,1,2,3,1,2,4,1,4,3,3,1,3,2,2,4,4,4,2,2,4,1,3,2,4,2,2,2,1
ST038,3,1,4,3,2,3,4,3,4,1,3,3,3,1,2,4,4,3,1,4,3,3,4,3,2,2,4,4,1,4,2,4,3,1,2,4,2,2,2,1
ST039,3,2,4,2,2,3,4,4,1,3,1,4,1,2,3,1,2,4,1,4,2,4,1,3,3,1,4,1,4,2,2,4,3,4,2,4,2,2,2,1
ST040,3,2,4,2,2,3,4,4,1,4,2,1,1,2,2,1,2,4,1,4,2,3,1,3,2,2,4,4,4,2,2,4,1,3,2,4,2,2,2,1
ST041,3,2,4,2,2,3,4,3,2,1,3,1,1,2,2,3,3,4,1,4,3,3,3,3,2,2,4,4,3,3,2,4,1,2,2,4,2,2,2,1
ST042,3,2,4,2,2,1,3,3,4,4,3,3,1,2,2,1,2,4,3,4,3,4,1,3,2,1,4,4,4,1,2,2,1,3,2,1,2,3,1,1
ST043,3,2,4,1,4,3,4,4,1,3,2,4,1,2,3,1,2,4,1,4,3,3,1,2,3,1,2,4,4,2,2,4,3,1,2,3,2,2,2,1
ST044,4,4,4,4,1,4,4,4,1,2,3,4,3,2,3,1,1,4,1,1,3,2,1,3,2,1,1,1,3,3,3,2,1,3,2,3,2,2,2,1
